geo.name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Brazil;134;130,5;126,9;123,4;120;116,6;113,1;109,5;105,6;101,5;97,2;93;88,8;84,9;81,2;77,9;74,9;72;69,4;66,8;64,2;61,4;58,4;55,3;52,2;49,1;46;43,2;40,6;38,1;35,8;33,6;31,5;29,6;27,8;26,1;24,5;23,2;21,9;20,8;19,8;18,9;18;17,2;16,4;15,7;15,1;14,653;14,218
Croatia;34,243;32,267;30,608;29,253;28,161;27,284;26,563;25,929;25,316;24,67;23,941;23,1;21,8;20,6;19,4;18,2;17;15,8;14,7;13,7;12,8;12,1;11,4;10,9;10,4;10;9,6;9,3;8,9;8,6;8,3;8;7,7;7,4;7;6,7;6,4;6,2;5,9;5,7;5,5;5,3;5,1;5;4,9;4,8;4,7;4,52;4,416
Denmark;16,6;15,8;14,9;13,9;13,1;12,3;11,6;11,1;10,6;10,2;10;9,7;9,6;9,5;9,6;9,6;9,7;9,7;9,6;9,4;9;8,4;7,9;7,4;6,9;6,5;6,2;6;5,8;5,6;5,5;5,4;5,3;5,2;5;4,8;4,6;4,5;4,3;4,2;4,1;4,1;4,1;4,1;4,2;4,3;4,4;4,004;3,859
Egypt;243,3;239,7;235,5;230;223;214,6;205,4;195,8;186,2;176,7;167,4;158;148,4;138,4;128,4;118,6;109,8;102,2;95,8;90,5;85,9;81,7;77,6;73,4;69,1;64,9;60,7;56,8;53,2;49,9;46,9;44,2;41,8;39,7;37,8;36,1;34,6;33,1;31,7;30,4;29,1;27,9;26,7;25,6;24,7;23,7;22,8;22,021;21,292
Hungary;38,8;38,4;38,4;38,2;37,4;35,6;32,7;29,4;26,7;25;23,8;22,8;22;21,7;21,9;21,8;20,9;19,5;18,4;17,8;17,3;16,6;15,6;14,5;13,4;12,5;11,9;11,5;11,1;10,7;10,1;9,6;8,9;8,4;7,9;7,6;7,2;6,8;6,5;6,2;6;5,8;5,7;5,6;5,5;5,4;5,2;5,154;5,053
Jamaica;57,4;55,1;52,9;50,9;49;47,2;45,6;44,1;42,7;41,5;40,2;39,1;38;36,9;35,9;34,9;33,9;33;32;31,1;30,2;29,3;28,5;27,6;26,7;25,9;25,1;24,2;23,5;22,7;22;21,4;20,9;20,5;20,1;19,9;19,6;19,3;19;18,6;18,1;17,7;17,2;16,8;16,3;15,8;15,3;15,064;14,714
Mexico;108,1;104,2;100,5;97;93,6;90,5;87,3;84,2;81;77,4;73,6;69,9;66,2;62,9;59,9;57,2;54,8;52,4;50,1;47,9;45,7;43,5;41,4;39,3;37,4;35,5;33,7;31,9;30,1;28,4;26,8;25,3;23,9;22,7;21,6;20,6;19,8;19;18,4;17,8;17,3;16,8;16,3;15,9;15,4;15;14,6;14,214;13,826
Netherlands;15,8;15,2;14,7;14,1;13,6;13,1;12,6;12,1;11,6;11,2;10,9;10,6;10,4;10,1;9,9;9,7;9,4;9,2;8,9;8,6;8,3;8;7,7;7,4;7,1;6,9;6,7;6,6;6,4;6,3;6,2;6,1;5,9;5,7;5,6;5,4;5,2;5;4,8;4,6;4,5;4,3;4,2;4,1;4;3,9;3,8;3,44;3,254
Poland;36,3;34,5;32,4;30,5;28,9;27,7;27;26,3;25,5;24,7;23,9;23,3;22,7;22;21,2;20,3;19,6;18,9;18,3;17,9;17,4;16,9;16,4;16;15,5;14,6;13,3;11,9;10,8;9,9;9,3;8,8;8,4;8,1;7,8;7,5;7,3;7;6,7;6,3;6;5,7;5,4;5,2;5;4,9;4,7;4,677;4,584
Spain;24,4;22,1;20,2;19,3;19,3;19,7;19,6;19;17,7;16,2;14,8;13,7;12,9;12,3;11,6;11,1;10,7;10,3;9,9;9,5;9,1;8,8;8,4;8;7,4;6,9;6,4;6,1;5,8;5,6;5,4;5,3;5,2;5;4,9;4,7;4,5;4,4;4,2;4;3,8;3,7;3,6;3,5;3,4;3,4;3,3;3,139;3,022
